epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7685,0.61656,3.76798,0.81496,0.00333,1,0.25335,0.18342,0.56175,3.38576,0.74872,6e-05,6e-05,6e-05
2,5.22827,0.61335,3.38805,0.85313,0.00333,1,0.59562,0.41827,0.66257,3.28691,0.75244,0.00013076,0.00013076,0.00013076
3,7.60613,0.66218,2.56382,0.88873,0.00333,1,0.92833,0.65052,0.76883,3.21555,0.74612,0.00019096,0.00019096,0.00019096
4,10.1028,0.62742,1.84529,0.83554,0.00333,1,0.995,0.66133,0.69065,3.19852,0.7584,0.0002406,0.0002406,0.0002406
5,12.7285,0.48392,1.51781,0.8133,0.00333,1,0.92833,0.6375,0.64912,3.05143,0.76401,0.00027968,0.00027968,0.00027968
6,15.174,0.51504,2.15251,0.87202,0.00333,1,0.92833,0.66935,0.657,2.98081,0.75681,0.0003082,0.0003082,0.0003082
7,17.8117,0.65125,2.29514,0.84153,0.00333,1,0.92833,0.66935,0.657,2.98081,0.75681,0.00032616,0.00032616,0.00032616
8,20.1653,0.62114,2.09802,0.83298,0.00333,1,0.92833,0.64284,0.58496,3.0299,0.76042,0.00033356,0.00033356,0.00033356
9,22.6804,0.66257,1.85738,0.8313,0.00333,1,0.86167,0.49435,0.58796,3.03923,0.75334,0.0003304,0.0003304,0.0003304
10,25.2125,0.51025,1.79961,0.82134,0.00333,1,0.86167,0.49435,0.58796,3.03923,0.75334,0.00031668,0.00031668,0.00031668
11,27.8197,0.57139,1.91384,0.82503,0.00333,1,0.86167,0.60495,0.58167,3.02755,0.7656,0.0002924,0.0002924,0.0002924
12,30.4433,0.54609,1.8033,0.83071,0.00333,1,0.86167,0.60495,0.58167,3.02755,0.7656,0.00025756,0.00025756,0.00025756
13,33.0012,0.6212,2.06986,0.82967,0.00333,1,0.96167,0.83717,0.54215,2.93332,0.79147,0.00021216,0.00021216,0.00021216
14,35.5989,0.60712,1.81642,0.85365,0.00333,1,0.96167,0.83717,0.54215,2.93332,0.79147,0.0001562,0.0001562,0.0001562
15,38.0794,0.59985,1.9184,0.82207,1,0.58416,0.995,0.8675,0.57277,2.76563,0.80862,8.968e-05,8.968e-05,8.968e-05
