epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.09114,0.53944,3.13494,0.85899,0.00333,1,0.83823,0.79926,0.33034,3.26964,0.83141,0.00012,0.00012,0.00012
2,8.1665,0.56854,2.39609,0.82384,0.00333,1,0.87674,0.74092,0.37609,3.11726,0.83295,0.00025142,0.00025142,0.00025142
3,12.186,0.48678,1.42136,0.77792,1,0.82948,0.931,0.8316,0.48851,2.83998,0.83532,0.0003736,0.0003736,0.0003736
4,16.2164,0.54628,1.53324,0.86303,1,0.83203,0.995,0.79505,0.60585,2.76333,0.85741,0.00048654,0.00048654,0.00048654
5,20.4182,0.66085,1.42258,0.90162,1,0.6328,0.915,0.78575,0.66998,2.87037,0.87014,0.00059024,0.00059024,0.00059024
6,24.5954,0.55528,1.75631,0.90131,0.9904,0.66667,0.94786,0.80586,0.60503,2.79634,0.88688,0.0006847,0.0006847,0.0006847
7,28.7157,0.60371,1.45639,0.87521,0.9904,0.66667,0.94786,0.80586,0.60503,2.79634,0.88688,0.00076992,0.00076992,0.00076992
8,32.9787,0.58293,1.41523,0.86761,1,0.55905,0.995,0.88723,0.45761,2.62227,0.85443,0.0008459,0.0008459,0.0008459
9,37.2185,0.63358,1.2589,0.89385,0.95439,1,0.995,0.9205,0.41694,2.56381,0.82781,0.00091264,0.00091264,0.00091264
10,41.3969,0.58123,1.49013,0.89769,0.95439,1,0.995,0.9205,0.41694,2.56381,0.82781,0.00097014,0.00097014,0.00097014
11,45.5969,0.54404,1.27898,0.90903,0.96206,1,0.995,0.91225,0.36159,2.54428,0.82253,0.0010184,0.0010184,0.0010184
12,49.7204,0.50875,1.29492,0.86925,0.96206,1,0.995,0.91225,0.36159,2.54428,0.82253,0.00105742,0.00105742,0.00105742
13,53.9723,0.54742,1.39668,0.86733,1,0.97162,0.995,0.94317,0.38841,2.34988,0.82553,0.0010872,0.0010872,0.0010872
14,58.153,0.55349,1.02325,0.89006,1,0.97162,0.995,0.94317,0.38841,2.34988,0.82553,0.00110774,0.00110774,0.00110774
15,62.3286,0.5434,1.17768,0.83939,0.96039,1,0.995,0.94317,0.34813,1.98267,0.8015,0.001076,0.001076,0.001076
16,66.4665,0.53043,1.23469,0.9102,0.96039,1,0.995,0.94317,0.34813,1.98267,0.8015,0.00101,0.00101,0.00101
17,70.6497,0.49791,1.07996,0.84348,0.98692,1,0.995,0.92667,0.4109,2.08872,0.81937,0.000944,0.000944,0.000944
18,74.6953,0.44666,1.18254,0.81998,0.98692,1,0.995,0.92667,0.4109,2.08872,0.81937,0.000878,0.000878,0.000878
19,78.8052,0.46729,1.04068,0.83118,0.98692,1,0.995,0.92667,0.4109,2.08872,0.81937,0.000812,0.000812,0.000812
20,82.8736,0.46197,1.14093,0.89402,0.98901,1,0.995,0.8905,0.37566,1.75932,0.80911,0.000746,0.000746,0.000746
21,86.8996,0.44901,1.46921,0.78444,0.98901,1,0.995,0.8905,0.37566,1.75932,0.80911,0.00068,0.00068,0.00068
22,90.7908,0.41672,1.3435,0.80353,0.9896,1,0.995,0.96508,0.3288,1.61377,0.79559,0.000614,0.000614,0.000614
23,94.8054,0.39789,1.40748,0.82212,0.9896,1,0.995,0.96508,0.3288,1.61377,0.79559,0.000548,0.000548,0.000548
24,98.8428,0.46333,1.39182,0.84969,0.9902,1,0.995,0.995,0.32736,1.56728,0.797,0.000482,0.000482,0.000482
25,102.881,0.40408,1.43863,0.7924,0.9902,1,0.995,0.995,0.32736,1.56728,0.797,0.000416,0.000416,0.000416
26,106.819,0.41876,1.37059,0.7845,0.98117,1,0.995,0.995,0.31185,1.49809,0.79469,0.00035,0.00035,0.00035
27,110.765,0.40002,1.36251,0.801,0.98117,1,0.995,0.995,0.31185,1.49809,0.79469,0.000284,0.000284,0.000284
28,114.808,0.41309,1.39172,0.81168,0.98117,1,0.995,0.995,0.31185,1.49809,0.79469,0.000218,0.000218,0.000218
29,118.913,0.35935,1.30127,0.7955,0.97234,1,0.995,0.995,0.29282,1.39162,0.79535,0.000152,0.000152,0.000152
30,123.001,0.36836,1.31795,0.74026,0.97234,1,0.995,0.995,0.29282,1.39162,0.79535,8.6e-05,8.6e-05,8.6e-05
