frame_index,timestamp_seconds,source_name,detected,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height
0,,frame_0008.jpg,False,,,,,,,,,
1,,frame_0009.jpg,True,0.3035,103.43,557.16,160.78,608.62,132.11,582.89,57.34,51.46
2,,frame_0010.jpg,True,0.2709,93.7,557.73,151.0,604.75,122.35,581.24,57.3,47.02
3,,frame_0016.jpg,True,0.2947,34.39,555.14,91.88,601.13,63.13,578.14,57.49,45.99
4,,frame_0017.jpg,False,,,,,,,,,
5,,frame_0018.jpg,True,0.6085,584.33,293.73,640.37,352.05,612.35,322.89,56.04,58.32
6,,frame_0019.jpg,False,,,,,,,,,
7,,frame_0020.jpg,True,0.5276,1471.07,231.95,1528.25,290.03,1499.66,260.99,57.18,58.08
8,,frame_0021.jpg,False,,,,,,,,,
9,,frame_0026.jpg,True,0.2514,1803.07,689.63,1839.92,734.95,1821.5,712.29,36.86,45.32
10,,frame_0027.jpg,False,,,,,,,,,
11,,frame_0028.jpg,False,,,,,,,,,
12,,frame_0029.jpg,False,,,,,,,,,
13,,frame_0030.jpg,False,,,,,,,,,
14,,frame_0031.jpg,False,,,,,,,,,
15,,frame_0032.jpg,False,,,,,,,,,
16,,frame_0033.jpg,False,,,,,,,,,
17,,frame_0035.jpg,False,,,,,,,,,
18,,frame_0038.jpg,False,,,,,,,,,
