frame_index,timestamp_seconds,source_name,detected,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height
0,,frame_0015.jpg,True,0.8863,35.65,572.74,96.3,615.14,65.97,593.94,60.64,42.41
1,,frame_0018.jpg,True,0.9597,287.96,303.13,344.66,358.32,316.31,330.72,56.7,55.19
2,,frame_0019.jpg,True,0.8191,652.48,87.06,704.63,137.23,678.56,112.15,52.15,50.17
3,,frame_0020.jpg,True,0.7912,947.97,3.57,994.6,51.12,971.28,27.35,46.63,47.55
4,,frame_0021.jpg,True,0.9193,1159.14,39.07,1203.66,83.82,1181.4,61.44,44.53,44.75
5,,frame_0022.jpg,True,0.9548,1287.79,167.17,1330.9,206.19,1309.34,186.68,43.11,39.02
6,,frame_0023.jpg,True,0.9603,1353.28,357.09,1388.41,391.62,1370.85,374.35,35.13,34.52
7,,frame_0024.jpg,True,0.927,1368.83,575.87,1400.62,608.65,1384.73,592.26,31.79,32.79
8,,frame_0025.jpg,True,0.9582,1326.4,594.62,1356.71,624.99,1341.56,609.81,30.31,30.37
9,,frame_0026.jpg,True,0.7779,1264.45,573.29,1295.47,600.9,1279.96,587.09,31.02,27.61
10,,frame_0027.jpg,True,0.8557,1207.74,610.41,1233.41,636.78,1220.57,623.6,25.66,26.37
11,,frame_0028.jpg,True,0.9926,1156.07,647.55,1178.97,669.96,1167.52,658.76,22.9,22.41
12,,frame_0029.jpg,True,0.9755,1100.4,625.36,1125.83,651.07,1113.11,638.22,25.44,25.71
13,,frame_0030.jpg,True,0.8994,1062.43,647.47,1083.07,667.01,1072.75,657.24,20.64,19.54
14,,frame_0031.jpg,True,0.9663,1027.46,630.95,1049.12,652.44,1038.29,641.69,21.66,21.49
15,,frame_0036.jpg,True,0.9257,952.31,618.15,973.38,638.54,962.85,628.34,21.07,20.39
16,,frame_0040.jpg,True,0.9407,931.03,615.28,951.73,633.46,941.38,624.37,20.69,18.18
