epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.72997,1.41121,7.83207,0.81844,0.002,0.6,0.00137,0.00081,0.93689,5.14013,0.79066,8e-05,8e-05,8e-05
2,11.3063,1.14519,7.37438,0.87093,0.00333,1,0.0052,0.00239,0.98448,5.16779,0.77357,0.000175545,0.000175545,0.000175545
3,16.6608,1.30865,6.60507,0.82613,0.00333,1,0.00533,0.00285,0.98991,5.10086,0.76591,0.00026614,0.00026614,0.00026614
4,22.1004,1.41841,5.27955,0.82908,0.00333,1,0.00556,0.00371,0.99566,4.7968,0.77643,0.000351785,0.000351785,0.000351785
5,27.5035,1.53273,5.24304,0.85301,0.00333,1,0.00558,0.00243,1.0313,4.88006,0.77861,0.00043248,0.00043248,0.00043248
6,32.9188,1.41796,6.04563,0.82322,0.00333,1,0.00534,0.00297,1.0843,5.07167,0.77272,0.000508225,0.000508225,0.000508225
7,38.334,1.16612,4.99372,0.82842,0.00333,1,0.00502,0.0018,1.08937,5.13151,0.77826,0.00057902,0.00057902,0.00057902
8,43.872,1.26321,7.92623,0.78998,0.00333,1,0.00502,0.0018,1.08937,5.13151,0.77826,0.000644865,0.000644865,0.000644865
9,49.3497,1.12484,6.6901,0.85908,0.00333,1,0.00486,0.00175,1.08324,5.1428,0.78662,0.00070576,0.00070576,0.00070576
10,54.8823,1.25712,6.47492,0.87457,0.00333,1,0.00478,0.00258,1.15377,5.11936,0.80677,0.000761705,0.000761705,0.000761705
11,60.2656,1.23224,7.88808,0.83334,0.00333,1,0.00478,0.00258,1.15377,5.11936,0.80677,0.0008127,0.0008127,0.0008127
12,65.7387,1.08855,4.83798,0.84447,0.00333,1,0.79882,0.60791,1.13588,4.82469,0.80031,0.000858745,0.000858745,0.000858745
13,71.2443,0.97213,4.33048,0.79804,0.00333,1,0.79882,0.60791,1.13588,4.82469,0.80031,0.00089984,0.00089984,0.00089984
14,76.7215,1.20756,5.78097,0.78971,0.00333,1,0.79882,0.60791,1.13588,4.82469,0.80031,0.000935985,0.000935985,0.000935985
15,82.2952,1.27949,6.19102,0.84226,0.90751,0.8,0.93786,0.72659,0.92553,4.49343,0.77926,0.00096718,0.00096718,0.00096718
16,87.8099,1.12145,4.44778,0.80137,0.90751,0.8,0.93786,0.72659,0.92553,4.49343,0.77926,0.000993425,0.000993425,0.000993425
17,93.3417,1.01286,3.29425,0.80226,0.90751,0.8,0.93786,0.72659,0.92553,4.49343,0.77926,0.00101472,0.00101472,0.00101472
18,98.8008,1.04427,4.31755,0.83082,1,0.97594,0.995,0.72075,0.93699,3.94822,0.792,0.00103106,0.00103106,0.00103106
19,104.16,1.10233,5.18001,0.86707,1,0.97594,0.995,0.72075,0.93699,3.94822,0.792,0.00104246,0.00104246,0.00104246
