frame_index,timestamp_seconds,source_name,detected,confidence,x1,y1,x2,y2,center_x,center_y,box_width,box_height
0,,frame_0008.jpg,True,0.8781,111.52,565.1,164.37,599.66,137.95,582.38,52.84,34.55
1,,frame_0009.jpg,True,0.8759,104.24,564.4,156.58,599.51,130.41,581.96,52.34,35.11
2,,frame_0010.jpg,True,0.918,95.71,562.75,148.93,596.98,122.32,579.87,53.22,34.23
3,,frame_0016.jpg,True,0.9399,35.6,557.85,88.66,595.01,62.13,576.43,53.06,37.16
4,,frame_0017.jpg,True,0.8311,108.26,504.1,165.98,547.2,137.12,525.65,57.73,43.1
5,,frame_0018.jpg,True,0.9374,584.65,299.78,639.3,348.86,611.97,324.32,54.65,49.09
6,,frame_0019.jpg,True,0.9294,1051.65,204.98,1105.46,256.86,1078.55,230.92,53.81,51.88
7,,frame_0020.jpg,True,0.8204,1469.92,237.48,1524.8,287.87,1497.36,262.67,54.88,50.4
8,,frame_0021.jpg,True,0.9064,1798.21,392.41,1850.48,441.36,1824.34,416.88,52.27,48.95
9,,frame_0026.jpg,True,0.9146,1800.07,697.81,1835.81,729.2,1817.94,713.5,35.74,31.39
10,,frame_0027.jpg,True,0.89,1703.77,696.01,1736.77,726.3,1720.27,711.16,33.01,30.29
11,,frame_0028.jpg,True,0.9502,1624.89,706.36,1654.57,731.91,1639.73,719.14,29.68,25.55
12,,frame_0029.jpg,True,0.78,1560.0,702.67,1591.47,727.49,1575.73,715.08,31.48,24.81
13,,frame_0030.jpg,True,0.8849,1515.69,689.71,1543.94,715.06,1529.81,702.38,28.26,25.35
14,,frame_0031.jpg,True,0.7016,1487.63,686.12,1511.23,708.01,1499.43,697.07,23.6,21.89
15,,frame_0032.jpg,True,0.6876,1458.97,675.7,1486.82,698.47,1472.89,687.08,27.85,22.76
16,,frame_0033.jpg,True,0.7322,1444.41,666.93,1467.89,687.64,1456.15,677.29,23.47,20.71
17,,frame_0035.jpg,True,0.758,1414.41,657.92,1440.89,680.33,1427.65,669.12,26.48,22.41
18,,frame_0038.jpg,True,0.8572,1396.07,648.59,1421.04,669.1,1408.56,658.84,24.97,20.51
